0,title,selfmark,PlainTitle,subject,year,name,cities,countries,continent
74459595,Irish Brigade in America - L.C.fol.178A.2(068),L.C.fol.178A.2(068),Irish Brigade in America,,,"['Garry Owen', 'Bull Run']","Fredericksburg, Mary, Of, Richmond","['United States', 'Ireland', 'Turkey', 'South Africa', 'Turkmenistan']","['Africa', 'Europe', 'Asia', 'North America']"
74459671,Rocks of bonnie Gibraltar - L.C.Fol.70(68b)/L.C.Fol.70(128),L.C.Fol.70(68b)/L.C.Fol.70(128),Rocks of bonnie Gibraltar,,,"['Sweet Seventeen', 'Wot Cher']","Nelson, Dundee, New, York","['Gibraltar', 'South Africa', 'New Zealand', 'United States']","['Europe', 'Oceania', 'North America', 'Africa']"
74459673,Russian host - L.C.fol.178A.2(079),L.C.fol.178A.2(079),Russian host,,,"['Julius Cæsar', 'Never Surrender']",Liberty,"['United States', 'Russian Federation']","['Europe', 'North America']"
74459674,"Russians are coming, or, The finishing stroke - L.C.Fol.178A.2(113)",L.C.Fol.178A.2(113),"Russians are coming, or, The finishing stroke",,,[],"Bay, Bear, Aberdeen","['United States', 'France', 'Philippines', 'Russian Federation']","['Europe', 'Asia', 'North America']"
74459680,Sebastopol fashions - RB.m.169(140),RB.m.169(140),Sebastopol fashions,clothing,1852-1859,"['Alma Handkerchiefs', 'Alma Inns', 'Alma Whisky', 'Sebastopol Pipe']","Glasgow, Alma, Green","['Canada', 'Russian Federation', 'Turkey', 'China', 'United Kingdom', 'United States']","['Europe', 'Asia', 'North America']"
74459741,Tragedy of Sir James the Rose - L.C.Fol.70(50)/L.C.Fol.70(098),L.C.Fol.70(50)/L.C.Fol.70(098),Tragedy of Sir James the Rose,ballad,1869,"['Sir John', 'Fierce Donald', 'Donald Graham', 'Sir Donald Graham', 'Brave Rose']","Glasgow, Edinburgh, Of, Graham","['United States', 'United Kingdom', 'Turkey']","['Europe', 'Asia', 'North America']"
74459779,Ye mariners of England - L.C.fol.178A.2(003),L.C.fol.178A.2(003),Ye mariners of England,,,[],"Nelson, Paisley, Bowie","['New Zealand', 'United States', 'United Kingdom']","['Europe', 'Oceania', 'North America']"
74459801,Death of Abercrombie - APS.4.85.10,APS.4.85.10,Death of Abercrombie,ballad,1844-1850,[],"Sydney, Kent","['United States', 'Canada', 'United Kingdom']","['Europe', 'North America']"
74459822,Scots wha hae/And has she then fail'd in her truth - L.C.Fol.70(47a)/L.C.Fol.70(093),L.C.Fol.70(47a)/L.C.Fol.70(093),Scots wha hae/And has she then fail'd in her truth,,,['Handbills Cards'],"Liberty, London","['United Kingdom', 'United States']","['Europe', 'North America']"
74459825,Susan's adventures - L.C.Fol.70(139),L.C.Fol.70(139),Susan's adventures,ballad,1815-1821,"['Her William', 'Where Flora', 'Pretty Susan']","Paris, Portsmouth, Wellington, Helena, Bay, Aurora, Of","['United States', 'China', 'France', 'Germany', 'Malta', 'Philippines', 'Turkey', 'Russian Federation', 'Netherlands', 'Portugal']","['Europe', 'Asia', 'North America']"
74460000,New song on the dear times - L.C.Fol.178A.2(51),L.C.Fol.178A.2(51),New song on the dear times,,,['Wholesale Stationer'],Glasgow,['United Kingdom'],['Europe']
74460409,Plain Answers to Plain Questions - L.C.Fol.74(247),L.C.Fol.74(247),Plain Answers to Plain Questions,politics,1799-1805,[],"London, Dover, Calais","['France', 'Malta', 'Italy', 'Egypt', 'United States', 'United Kingdom']","['Europe', 'North America', 'Africa']"
74460472,Battle of Trafalgar - L.C.Fol.178A.2(057),L.C.Fol.178A.2(057),Battle of Trafalgar,,,['Bold Captain Duff'],Cadiz,"['France', 'Spain', 'Philippines', 'United Kingdom']","['Europe', 'Asia']"
74460476,Camlachie Militia - L.C.Fol.70(097),L.C.Fol.70(097),Camlachie Militia,,,['Camlachie Militia'],"Glasgow, Bear","['United Kingdom', 'United States']","['Europe', 'North America']"
74460857,"Description of the Turks prayers and fasts, before they go to war with the Christians - Ry.III.c.36(22)",Ry.III.c.36(22),"Description of the Turks prayers and fasts, before they go to war with the Christians",,,"['Four Golden Columns', 'Fifty Turkish', 'Hallay Bacche']",Mecca,"['Saudi Arabia', 'Turkey']",['Asia']
74459905,Ayr Autumn Circuit - L.C.Fol.73(123),L.C.Fol.73(123),Ayr Autumn Circuit,crime,1848,"['County Buildings', 'James Young', 'Forty Acres', 'Mr. BOYLE', ""James M'Wheelan""]","Ayr, Young, Harvey, Kilmarnock, Wilson","['United States', 'United Kingdom', 'Uruguay']","['South America', 'Europe', 'North America']"
74459906,Account of the trials and sentences of the various prisoners who have stood before the Circuit Court of Justiciary since its opening on Monday last - L.C.Fol.73(100),L.C.Fol.73(100),Account of the trials and sentences of the various prisoners who have stood before the Circuit Court of Justiciary since its opening on Monday last,trials,1828,"['Lord Meadowbank', 'David Mickel', 'JOHN AGNEW', ""Murdo M'Kenzie"", 'JOHN CUBIE', 'JOHN MURRAY', 'James Watson', 'William Yeatts', 'George Morrison', 'JAMES CUNNINGHAM', 'Hugh Robertson', 'Thomas Connar']","Paisley, Belfast, Glasgow, Bell, George, Coatbridge","['United Kingdom', 'South Africa', 'United States']","['Europe', 'North America', 'Africa']"
74459907,"Circuit Court : Glasgow, 15th Sept. 1828 - L.C.Fol.73(102)",L.C.Fol.73(102),"Circuit Court : Glasgow, 15th Sept. 1828",trials,1828,"['ROBERT ANDERSON', 'James Stewart', ""Murdo M'Kenzie"", 'JOHN CUBIE', 'Wallace Street', 'Mr. Neilson', 'James Watson', 'William Yeatts', 'George Morrison', 'JAMES CUNNINGHAM', 'John Ferguson', ""Hugh M'Farlane"", 'John Bowman', 'Port Eglinton', 'Robert Marshall', 'James Daily', 'James Paton']","Logan, Paisley, Young, Bar, Belfast, Glasgow, Moorhead, Bell, George, Coatbridge, Gilbert","['United Kingdom', 'United States', 'South Africa', 'Uruguay', 'Ukraine', 'Australia']","['Europe', 'Oceania', 'Africa', 'North America', 'South America']"
74459909,"Trials & sentences of all the different prisoners who have stood their trials at the Circuit Court of Justiciary which opened at Glasgow on Monday the 16th September, 1822, when one young man was sentenced to be executed at Glasgow on Wednesday the 23d of - L.C.Fol.73(38)",L.C.Fol.73(38),"Trials & sentences of all the different prisoners who have stood their trials at the Circuit Court of Justiciary which opened at Glasgow on Monday the 16th September, 1822, when one young man was sentenced to be executed at Glasgow on Wednesday the 23d of",,,"['George Buckley', 'James Campbell', 'Janet Alexander', 'Thomas Weir', 'James Taylor', 'Wm Kechni', 'John Morrison', 'Mary Jarvis', 'John Muir']","Johnstone, Paisley, Young, Badger, Glasgow, Grangemouth, Kirkintilloch, Greenock, Hamilton, Of","['United Kingdom', 'United States', 'Turkey', 'Uruguay']","['South America', 'Europe', 'Asia', 'North America']"
74459912,"Account of the trials and sentences of all the different prisoners who have been tried before the Circuit Court of Justiciary which met at Glasgow on Monday September 15, 1828 - L.C.Fol.73(101)",L.C.Fol.73(101),"Account of the trials and sentences of all the different prisoners who have been tried before the Circuit Court of Justiciary which met at Glasgow on Monday September 15, 1828",trials,1828,"['Alexander Latham', 'Robert Anderson', 'George Arniel', 'John Cubie', 'Catherine Tochil', 'Isaiah Moore', 'Janet Black', 'Henry Saunders', 'Francis Jones', ""William M'Kenzie"", 'Thomas Young', 'James Young', 'James Cunningham', 'William Haddow', ""Robert M'Intosh"", 'Margaret Armour', 'Charles Hill', 'John Muir']","Glasgow, Paisley, Bell","['United Kingdom', 'United States']","['Europe', 'North America']"
74459913,"Particular account of the procedure of the Circuit Court of Justiciary held at Glasgow on Tuesday, Wednesday, and Thursday the 19, 20, 21st of September 1786, giving a particular account of the trial and sentence of the different criminals - APS.4.84.21",APS.4.84.21,"Particular account of the procedure of the Circuit Court of Justiciary held at Glasgow on Tuesday, Wednesday, and Thursday the 19, 20, 21st of September 1786, giving a particular account of the trial and sentence of the different criminals",trials,1786,"['William Craig', 'John Cox', 'David Barcley', 'Next Kennedy Murray']","David, Paisley, Anderson, Murray, Glasgow, Dumbarton, Stirling, Wilson","['United Kingdom', 'United States', 'Panama']","['Europe', 'North America']"
74459915,"Account of the trials of the different criminals, in the Circuit Court of Justiciary at Glasgow, which was opened on Tuesday the 2d of May, 1809 - APS.4.84.19",APS.4.84.19,"Account of the trials of the different criminals, in the Circuit Court of Justiciary at Glasgow, which was opened on Tuesday the 2d of May, 1809",trials,1809,"['James Hannah', 'James Boatson', 'Lord Armadale', 'George Stewart', 'John Gordon', 'William Kirkwood', 'John Wood', 'William Dornan', 'Michael Donelly', 'Thomas Duncan']","Armadale, Duncan, Campbell, Bar, Carlisle, Stafford, Glasgow, Kirkwood, Edinburgh","['Ukraine', 'United States', 'United Kingdom', 'Australia']","['Europe', 'Oceania', 'North America']"
74459918,"Glasgow Circuit : Glasgow, April 15, 1828 - L.C.Fol.73(99)",L.C.Fol.73(99),"Glasgow Circuit : Glasgow, April 15, 1828",,,"['George Dougherty', ""Christian M'Donald"", 'James Whiteside', 'Margaret Harley', 'William Johnston', 'Sarah Kean', 'Ann Dunlop', 'Cornelius Vanderburgh', ""Elizabeth M'Lain"", 'Dowhill Street', 'John Miller', 'James Devlin', 'James Haggart', ""Mary M'Williams"", 'Robert Ure', 'John Kelly', ""Dorothy M'Williams"", 'Archd Finlay', 'John Buchanan Buchan']","East, Kilbride, Paisley, Mary, Bridgeton, Elizabeth, Glasgow, Dumbarton, Greenock","['United Kingdom', 'United States', 'Turkmenistan']","['Europe', 'Asia', 'North America']"
74459921,"Particular account of the proceedings of the Circuit Court of Justiciary, opened at Glasgow on Wednesday the 8th of April 1795 - APS.3.84.19",APS.3.84.19,"Particular account of the proceedings of the Circuit Court of Justiciary, opened at Glasgow on Wednesday the 8th of April 1795",crime,1795,"['Janet Wilson', ""Allan A'Aulay"", 'Andrews Church', 'Gavan Arbackle', 'Robert Baird', 'Gavin Arbuckle', 'James Brachim Son', 'John Gibson Schoolmaster']","Glasgow, Dumbarton, Renton","['United Kingdom', 'United States']","['Europe', 'North America']"
74459922,"Full and particular account of the trials before the Circuit Court of Justiciary, which was opened at Glasgow on Saturday the 8th of September 1798, with the sentence of the different criminals - 6.365(89)",6.365(89),"Full and particular account of the trials before the Circuit Court of Justiciary, which was opened at Glasgow on Saturday the 8th of September 1798, with the sentence of the different criminals",,,"['Dumbarton Shires', 'James Gray', 'Athol Moon', 'William Dron', 'Mr. Millar']","Glasgow, Bridgetown, Murray, Stirling","['United Kingdom', 'United States', 'Barbados']","['Europe', 'North America']"
74459927,"Account of the trial and sentence, of Charles and Margaret M'Mahon, accused of the murder and robbery of a Jew on the Easter Road to Leith - Ry.III.a.2(066)",Ry.III.a.2(066),"Account of the trial and sentence, of Charles and Margaret M'Mahon, accused of the murder and robbery of a Jew on the Easter Road to Leith",,,"[""Margaret M'Mahon"", 'Alexander Philips', 'Solomon Philips', 'Margaret Dudhope']","Glasgow, Edinburgh, London, Police","['United Kingdom', 'Poland']",['Europe']
74459930,"Account of the trial and sentence of Margaret Kennedy, who was tried before the Circuit Court of Justiciary, at Glasgow, on Thursday last, the 1st of October 1818, and condemned to be executed there, on Wednesday the 4th of November next, for passing forg - Ry.III.a.2(006)",Ry.III.a.2(006),"Account of the trial and sentence of Margaret Kennedy, who was tried before the Circuit Court of Justiciary, at Glasgow, on Thursday last, the 1st of October 1818, and condemned to be executed there, on Wednesday the 4th of November next, for passing forg",,,"['John Clark', 'James Cuthbert', 'King Street', 'Guinea Note', 'Ebenezer Connal', 'James Eadie', 'Messrs Connal', 'Alexander Brownlie', 'College Street', 'Catharine Cuthbert', 'St Ninian']","Telford, Mitchell, Glasgow, Highland, Stirling, Edinburgh, Old, Bridge","['United Kingdom', 'United States']","['Europe', 'North America']"
74459931,"Full, correct, and particular account of the trial and sentence of Mary Elder or Smith, wife of David Smith, farmer at Denside, Parish, of Monikie, and county of Forfar, who was tried at Edinburgh, on Monday the 19th February 1827, for the wilful murder o - F.3.a.14(37)",F.3.a.14(37),"Full, correct, and particular account of the trial and sentence of Mary Elder or Smith, wife of David Smith, farmer at Denside, Parish, of Monikie, and county of Forfar, who was tried at Edinburgh, on Monday the 19th February 1827, for the wilful murder o",trials,1827,['Margaret Warden'],"Edinburgh, George","['United Kingdom', 'South Africa']","['Europe', 'Africa']"
74459932,"Coarect [sic] account of the trial and sentence of Peter Meffat [sic], for the murder of his father, at Kilsyth, on the 2d April, 1822, and who is to be executed at Stirling, on Friday the 28th July, 1826 - Ry.III.a.2(070)",Ry.III.a.2(070),"Coarect [sic] account of the trial and sentence of Peter Meffat [sic], for the murder of his father, at Kilsyth, on the 2d April, 1822, and who is to be executed at Stirling, on Friday the 28th July, 1826",,,"['Old Moffat', 'Jean Nicol', 'John Russell']",Stirling,['United Kingdom'],['Europe']
74459935,"Full and particular account of the trial and sentence of William Allan, who was tried at Edinburgh, on Tuesday the 27th of December, 1825, for the barbarous murder and robbery of Alexander McKay, on the 17th September last, and who is to be executed at Ab - Ry.III.a.2(062)",Ry.III.a.2(062),"Full and particular account of the trial and sentence of William Allan, who was tried at Edinburgh, on Tuesday the 27th of December, 1825, for the barbarous murder and robbery of Alexander McKay, on the 17th September last, and who is to be executed at Ab",,,"['William Simpson', 'William Allan', 'Lord Meadowbank']","Edinburgh, Aberdeen","['United States', 'United Kingdom']","['Europe', 'North America']"
74459936,"Full account of the trial and sentence of William Pollock, for the barbarous murder of his wife, who is to be executed at Edinburgh on the 22d March - Ry.III.a.2(063)",Ry.III.a.2(063),"Full account of the trial and sentence of William Pollock, for the barbarous murder of his wife, who is to be executed at Edinburgh on the 22d March",,,['Ana Renny'],"Edinburgh, March, Bar","['United Kingdom', 'Ukraine']",['Europe']
74459938,"Account of the interesting trial of John Stewart and Catherine Wright  for the murder and robbery of Robert Lamont on board the Toward Castle Steam Boat on her passage from Inverary to Glasgow, by giving him landanum in his drink, whereby he became insens - L.C.Fol.73(106)",L.C.Fol.73(106),"Account of the interesting trial of John Stewart and Catherine Wright  for the murder and robbery of Robert Lamont on board the Toward Castle Steam Boat on her passage from Inverary to Glasgow, by giving him landanum in his drink, whereby he became insens",trials,1829,['Robert Lamont'],"Glasgow, Edinburgh, Burke, Wright","['United Kingdom', 'United States']","['Europe', 'North America']"
74459939,"Account of the trial of Robert Ferguson, before the Circuit Court of Justiciary at Inverness, which was opened on the 15th of September, 1812, for the wilful murder of Captain Charles Monro, of his Majesty's 42d Regiment, and for which crime he is to be e - 6.365(101)",6.365(101),"Account of the trial of Robert Ferguson, before the Circuit Court of Justiciary at Inverness, which was opened on the 15th of September, 1812, for the wilful murder of Captain Charles Monro, of his Majesty's 42d Regiment, and for which crime he is to be e",murder,1812,"['Charles Monro', 'George Thomson', 'Captain Monro', 'Saw Captain Monro', 'Lord Hermand']","Duncan, Inverness, Glasgow, George, Ferguson","['United Kingdom', 'United States', 'South Africa']","['Africa', 'Europe', 'North America']"
74459956,"Full and particular account of the trial and sentence of Hugh M'Millan, and Euphemia M'Millan, this last of whom is to be executed at Edinburgh on Wednesday the 23d January, 1828, for the murder of Archibald Campbell, teacher of dancing in Edinburgh, by t - Ry.III.a.2(081)",Ry.III.a.2(081),"Full and particular account of the trial and sentence of Hugh M'Millan, and Euphemia M'Millan, this last of whom is to be executed at Edinburgh on Wednesday the 23d January, 1828, for the murder of Archibald Campbell, teacher of dancing in Edinburgh, by t",,,"['Euphemia Lawson', 'Doctors Adams']","Edinburgh, Campbell","['United Kingdom', 'United States']","['Europe', 'North America']"
74459961,Trials and sentences of the different prisoners who have stood their trials at this circuit - L.C.Fol.73(118),L.C.Fol.73(118),Trials and sentences of the different prisoners who have stood their trials at this circuit,crime,1849,"[""Daniel M'Donald"", 'George Allardice', 'Agnes Sharp', 'William Hamilton', 'Jean Russell', 'William Thomson', 'Joan Campbell', 'William Barclay', 'George Williamson', 'William Turner', 'Walter Whyte', 'Margaret Dynan', 'James Pattison', 'Thomas Law', 'Jane Stewart', 'James Miller', 'John Chandler', 'Isabella Munro', 'Margaret Nellis', 'Robert Paton', ""William M'Curdie"", 'John Tait', 'Miss Rachel Herbert', 'Monday___Miss Herbert']","Buchanan, Paisley, Newport, Carmichael, Greenock, Hamilton","['United Kingdom', 'United States', 'Liberia']","['Africa', 'Europe', 'North America']"
74459983,"Full and particular account of the trial and sentence of James Anderson and David Glenn, who are to be executed at the spot where the crime was committed, on Friday, the 12th December 1823, for the murder of John M'Clure, and their bodies to be given for  - F.3.a.13(60)",F.3.a.13(60),"Full and particular account of the trial and sentence of James Anderson and David Glenn, who are to be executed at the spot where the crime was committed, on Friday, the 12th December 1823, for the murder of John M'Clure, and their bodies to be given for ",trials,1823,"['David Glenn', 'Thomas Young', 'James Tod', 'David Glenn Guilty']","Ayr, Edinburgh, Anderson","['United Kingdom', 'United States']","['Europe', 'North America']"
74460032,"Account of the trial and sentence of John Campbell and William Helm, accused of culpable homicide, whereby Alexr. Lawson a shearer met his death at Currie - F.3.a.13(98)",F.3.a.13(98),"Account of the trial and sentence of John Campbell and William Helm, accused of culpable homicide, whereby Alexr. Lawson a shearer met his death at Currie",trials,1835-1836,"['William Helm', 'Alexander Lawson', 'Baron Hume']","Glasgow, Edinburgh, Campbell","['United States', 'United Kingdom', 'Ireland']","['Europe', 'North America']"
74460073,"Particular account of the trial and sentence of Margaret Boag, at Edinburgh, on Monday 19th January 1824, charged with murdering Elizabeth Low, an old woman of 75 years of age, at Dunning in Perthshire, on the 18th February 1818; or with theft and reset o - F.3.a.14(8)",F.3.a.14(8),"Particular account of the trial and sentence of Margaret Boag, at Edinburgh, on Monday 19th January 1824, charged with murdering Elizabeth Low, an old woman of 75 years of age, at Dunning in Perthshire, on the 18th February 1818; or with theft and reset o",trials,1824,"['Found Guilty', 'Lord Pitmilly', 'James Dougherty']","Elizabeth, Edinburgh","['United Kingdom', 'United States']","['Europe', 'North America']"
74460273,Forty Whiteboys sentenced to death - L.C.Fol.73(26),L.C.Fol.73(26),Forty Whiteboys sentenced to death,,,"['Cornelius Lucy', 'Humphry Hincy', 'Cornelius Rylahan', 'Mr. Justice Moore', 'John Muir']","Buckley, Murphy, Cork, Munster, Glasgow, Moore, Evans","['United States', 'United Kingdom', 'Ireland']","['Europe', 'North America']"
74460281,"Account of the names and crimes of the different prisoners who have been tried at the spring circuit, Glasgow, where the Honourable the Lord Justice Clerk and Lord Moncrieff presided - L.C.Fol.73(119)",L.C.Fol.73(119),"Account of the names and crimes of the different prisoners who have been tried at the spring circuit, Glasgow, where the Honourable the Lord Justice Clerk and Lord Moncrieff presided",trials,1841,"['Lords Justice Clerk', 'Captain Miller', 'Christion Thomson', 'Thomas Donochie', 'James Graliam', 'Andrew Pollock', 'Jean Anderrson', 'Brown James Brown', 'Margaret Stewart', 'John Develen', 'Allan Connell', 'Watson Cain', 'Dennis Hart', 'John Green']","Redding, Anderson, Campbell, Glasgow, Henderson, George, Hamilton, Eagan","['United States', 'United Kingdom', 'Turkey', 'South Africa']","['Africa', 'Europe', 'Asia', 'North America']"
74460282,"Wednesday, April 26, 1843 - L.C.Fol.73(120)",L.C.Fol.73(120),"Wednesday, April 26, 1843",trials,1843,"['David Milne', 'George Square', 'William Osborne', 'John Cook', 'James Reid', 'William Whitelaw', 'John Mason', ""John M'Leod"", 'Patrick Curran', 'William Baxter', ""Charles O'Brien"", 'Hugh Hannah', 'William Cairns', 'William Speedy', 'William Robertson Christina Robertson Margaret', 'William Robertson', 'Richard Caffery', 'William Watt', 'James M. Crae', 'John Boyle', ""William M'Phee"", 'Hugh Arrol', 'Thomas Fahey', 'Guilty Samuel Baird', ""Charles M'Kay""]","Cairns, Paisley, Anderson, London, Mitchell, Glasgow, Elizabeth, Greenock","['United Kingdom', 'United States', 'Australia']","['Europe', 'Oceania', 'North America']"
74460283,Glasgow Winter Assizes - L.C.Fol.73(105),L.C.Fol.73(105),Glasgow Winter Assizes,trials,1828,"[""Alexander M'Lean"", 'Robert Glen', 'Robert Stevenson', 'Sarah Orrill Johnston', 'James Sproull', ""Thomas M'Innally"", 'James Watt', 'Alexander Waddell', 'James Masshall', 'Charles Rowan', 'William Huskisson', 'Alexander Robertson']","East, Kilbride, Paisley, Airdrie, Glasgow, Rutherglen, Dumbarton, Johnston","['United Kingdom', 'United States']","['Europe', 'North America']"
74460439,"Account of the trial and sentence of Robert Emond, who was tried at Edinburgh on Monday last, for the horrid murder and robbery of his sister-in-law and his niece, in the village of Abbey, near Haddington, by cutting their throats, and nearly severing the - F.3.a.13(83)",F.3.a.13(83),"Account of the trial and sentence of Robert Emond, who was tried at Edinburgh on Monday last, for the horrid murder and robbery of his sister-in-law and his niece, in the village of Abbey, near Haddington, by cutting their throats, and nearly severing the",,,"['O God', 'Daniel Alexander Murray', 'John Muir']","March, Campbell, Sunderland, Murray, Glasgow, Edinburgh","['United Kingdom', 'United States']","['Europe', 'North America']"
74460441,Case of supposed murder of a child - Ry.III.a.2(112),Ry.III.a.2(112),Case of supposed murder of a child,murder,1830-1840,['Howard Place'],Police,['Poland'],['Europe']
74460579,"Trial & sentence of two men and two women before the High Court of Justiciary at Edinburgh, on Wednesday the 5th of this month, November, 1823 for the barbarous murder of Mr John M'Clure in July last, as he was returning from Ochiltree sacrament to Ayr, w - L.C.Fol.73(66)",L.C.Fol.73(66),"Trial & sentence of two men and two women before the High Court of Justiciary at Edinburgh, on Wednesday the 5th of this month, November, 1823 for the barbarous murder of Mr John M'Clure in July last, as he was returning from Ochiltree sacrament to Ayr, w",,,"['JAMES ANDERSON', ""John M'CIure"", 'David Glen']","Glasgow, Ayr, Edinburgh, Young","['United Kingdom', 'Uruguay']","['South America', 'Europe']"
74460580,"Account of the trial and sentence of Mrs. Cocker, who travelled the country with a show, accused of the murder of her own daughter, a girl about 9 years of age, in the parish of Kilbarchan, on the 20th of September last, by wounding her in various parts o - L.C.Fol.73(072)",L.C.Fol.73(072),"Account of the trial and sentence of Mrs. Cocker, who travelled the country with a show, accused of the murder of her own daughter, a girl about 9 years of age, in the parish of Kilbarchan, on the 20th of September last, by wounding her in various parts o",crime,1824,[],"Glasgow, Edinburgh, Paisley, Johnstone",['United Kingdom'],['Europe']
74460582,"Trial & sentence of James Bell, Private in the Fifth Dragoon Guards, for the murder of Serjeant-major Moorhead, by shooting him with a pistol at Piershill Barrachs, on Sunday the 17th May last - F.3.a.14(72)",F.3.a.14(72),"Trial & sentence of James Bell, Private in the Fifth Dragoon Guards, for the murder of Serjeant-major Moorhead, by shooting him with a pistol at Piershill Barrachs, on Sunday the 17th May last",trials,1835,"['William Moorhead', 'Archibald Scott', 'George Smith', 'Captain King', 'John Calinan', 'William Graham', 'Galbraith Logan', 'Sir George Ballingall']","Logan, Moorhead, Bell, Edinburgh, Graham","['United States', 'Australia', 'United Kingdom']","['Europe', 'Oceania', 'North America']"
