id,key,selfmark,text,title,year
15892,accidents,S.302.b.2(078),"This broadside begins: 'A New-Years-Gift : OR, A RESPECTFUL WISH From the Hand of a Stranger who (upon the 28th of November) was a Sufferer by the Fire which happened in the Canongate. TO MY LORD BALMERINO'.
This eighteenth-century broadside, written in verse, offers good wishes for the coming year, one presumes it is intended to be bought as a gift for friends. It is not clear why we are told that the author was in a fire in Edinburgh's Canongate. Neither is it clear why the verse is dedicated to 'Lord Balmerino'. It is likely that this is Arthur Elphinstone (1688-1746), a Scottish nobleman and army commander, who was executed for his part in the 1745 rebellion.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information  such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'A New-Years-Gift',1715-
14558,weavers,Ry.III.a.10(078),"This ballad begins: 'O Vow was there ever seen, / So many Weavers stout and keen / With Cluted Coats and riven Shoon / at Geordie Malice Brithel.' The text preceding it reads: 'TO THE / Praise of the Weavers / GIVING AN / Account of their behaviour at a Wedding in Elgin of Murray. / to its own proper Tune.'
The names Gordon and Murray are mentioned in this rather violent but hilariously recounted wedding day. Perhaps there is the suggestion of continued family rivalry which was prevalent among the close-knit but extended families of Northern Scotland. Weavers were also notorious for their aggressive bad behaviour. They were well-paid for craftsmen but they had to defend their livelihood against foreign imports. This often led to public clashes with the authorities.
Early ballads were dramatic or humorous narrative songs derived from folk culture that predated printing. Originally perpetuated by word of mouth, many ballads survive because they were recorded on broadsides. Musical notation was rarely printed, as tunes were usually established favourites. The term 'ballad' eventually applied more broadly to any kind of topical or popular verse.",Broadside ballad entitled 'Praise of the Weavers',1701
14477,weavers,Ry.III.a.10(023),"Verse 1: '[missing] Gentlemen; and listen well / to a Song I'm to endite, / [In] Praise of all the Weavers / how much do I delight? / [T]o speak forth what I think of them, / for they deserve the praise, / And of their works these Garments are, / which makes pride now a days.' The ballad was to be sung 'To its own proper new Tune'.
Weavers were a hugely important part of the industrial growth of Scotland, particularly in the eighteenth century when new technology improved the quantity and quality of yarn that could be produced quickly. The textile industry was the hub of the first phase of industrial revolution, swelling Scotland's cities and the town of Paisley in particular. The invention of the power loom reduced the demand for handloom weavers in the nineteenth century, but they remained a politically powerful group of craftsmen.
Early ballads were dramatic or humorous narrative songs derived from folk culture that predated printing. Originally perpetuated by word of mouth, many ballads survive because they were recorded on broadsides. Musical notation was rarely printed, as tunes were usually established favourites. The term 'ballad' eventually applied more broadly to any kind of topical or popular verse.",Broadside ballad entitled 'In Praise of the Gallant Weavers',1701
14599,body,F.3.a.13(48),"This report begins: 'Full copy of the Curious Papers which were found under a flag stone at the General Cleaning of the City, near Burke's house, where you have the names of those who were murdered, and sold by him. Together with the prices, and the sums received for each subject.' This sheet was published by Forbes and Co., Printers, Edinburgh.
Despite the alternative spelling of Burk in the headline, this sensational broadside purports to be a chilling list detailing the list of victims of the notorious murderers William Burke and William Hare. In 1827, these two underworld characters started murdering people for profit. Although the dates and names of the victims are genuine enough, there is no way of knowing if these 'Curious Papers' did in fact belong to Burke, or whether it was just a case of a market-aware printer looking for a subject that would sell numerous broadsides.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'Burks Papers',1829
15312,body,L.C.Fol.74(043),"The first verse reads: 'AT rest on a sofa the --- --- was laid, / Not asleep --- yet a drowziness over him hung ; / Some say that he thought on his bills yet unpaid, / But the notion at this time was certainly wrong.' Unfortunately, no publication details have been included.
This verse appears to recount a resurrectionist's encounter with the devil, during which the devil states 'I came just to tell ye, the doctors are writing, / And thinking to ruin both us and our cause'. Whilst the resurrectionist appears horrified by the spectre in front of him, the devil considers them 'True brothers'. Resurrectionists, also known as body-snatchers, were particularly feared and reviled by eighteenth- and nineteenth-century society. Their crime involved removing bodies from fresh graves and selling them for dissection. The resurrectionist in this verse is obviously plagued by a guilty conscience, which manifests itself in his dreams.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information  such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'The --- ---'s DREAM; OR THE Devil opposing the Resurrection Men',1820-1830
15379,body,L.C.Fol.74(119),"This broadside report begins: 'A Full, True, and Interesting Account of the Serious Rumours at present afloat of Two Fish-Women being missed in Leith within a few days past, and of their bodies having been found hidden in a barrel, -- as also of the apprehension of the suspected individual.'  The sheet was published by George Craig of Edinburgh, and cost one penny.
This broadside purports to report on a chilling murder of two fish-women from Leith, whose bodies were apparently found in a barrel. It could well be, however, that this is just a fictional story that fed on the fears that existed in Edinburgh after the notorious actions of Burke and Hare. Certainly, there are no definite details to prove the truth of the story, with the writer frequently employing doubtful phrases such as 'if true', 'it appears' and 'it is rumoured'. The word 'burking' entered the lexicon around the time that Burke and Hare committed their awful deeds, but, thankfully, has since become a dormant word.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'Rumour of Burking in Leith',1831
14642,body,F.3.a.13(106),"This report begins: 'An account of that woman who died in Jamaica Street, Edinburgh, on the 3d Feb. 1825, and after being coffined the room was entered by a window, the corpse stolen and the coffin filled with stones; also the apprehension of a resurrection man in Haddington church-yard with the instruments employed for lifting the dead. Likewise an account of the discovery of the body of a man in a trunk, by a porter at Pettycur while carrying it to the steamboat, on Tuesday the 8th Feb. and which had been brought from Dundee on its way to Edinburgh.' It was published by J. Seller of Edinburgh, in 1825.
This broadside reflects the level of concern that existed in 1820s Edinburgh over the practice of resurrectionism, or body-snatching. Some anatomy lecturers, frustrated by laws that allowed only the bodies of certain executed criminals to be donated to medical science, were willing to pay well for corpses that could be used for experiment and demonstration. The practice thus gained popularity among the criminal fraternity. Resurrectionism held a particular horror for many devoutly presbyterian Scots, who believed that to gain salvation their bodies must be buried on hallowed ground.
Reports recounting dark and salacious deeds were popular with the public, and, like today's sensationalist tabloids, sold in large numbers. Crimes could generate sequences of sheets covering descriptive accounts, court proceedings, last words, lamentations and executions as they occurred. As competition was fierce, immediacy was paramount, and these occasions provided an opportunity for printers and patterers to maximise sales.",Broadside entitled 'Robbery of Dead Bodies',1825
14600,body,F.3.a.13(49),"This report begins: 'A Full and Particular Account of the Riot which took place in Edinburgh on Thursday last ; also of the Hoax played off on a Celebrated Doctor.'
The broadside tells of the riot that took place in Edinburgh on 12 February 1829, when a mob marched to the house of Dr. Robert Knox and demanded justice. Although Dr. Knox was the eminent anatomist who bought corpses at £10 a time from the infamous body-snatchers, Burke and Hare, he was never prosecuted. His career, however, was effectively destroyed. It appears from this riot that the public considered him to be an accomplice - hence the stones thrown at his house. This broadside contains a darkly humorous sting in the tale, as it concludes with a funny story concerning how a local anatomist was persuaded to buy a dead sow to help advance his studies. 
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.","Broadside concerning the riot outside Dr. Robert Knox?s house, Edinburgh over Burke and Hare",1829
15349,body,Ry.III.a.2(35),"This news report begins: 'An account of a serious riot which took place in Stirling on Saturday the 19th April, 1823. when two disturbers of the Dead were almost torn to pieces by the populace, and a party of soldiers being brought from the Castle to quell the riot, fired on the mob, when several persons were wounded.'
The riot described in this report apparently came about when the trial of two resurrectionists, or body-snatchers, was halted pro loco et tempore. In Scots Law this phrase refers to a case where the trial is stopped but the prosecution retains the right to bring a fresh indictment against the accused. The 1820s saw mounting concern in Scotland over the theft and sale of newly-buried bodies for anatomical research. The outrage reached its peak in 1828 when William Burke and William Hare were founded to have committed multiple murders in Edinburgh to find fresh subjects for the anatomists.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information  such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.","Broadside entitled 'Riot in Stirling', 1823",1823
15239,body,Ry.III.a.6(048),"This crime report begins: 'A Full and Particular Account of the Reception of WILLIAM HARE, one of the West Port Murderers, at Dumfries, on Friday morning last, on his way to Ireland!' This report was sourced from the 'Edinburgh Evening Courant' of the 9th February 1829 and the sheet would have cost one penny to buy.
This is one article of many held in the National Library of Scotland's collection which detail the case of the bodysnatchers and murderers William Burke and William Hare. As a result it is also an article which added its opinion to the already huge nineteenth century debate on human dissection. Copying the article from a newspaper was not at all unusual, as newspaper reporters travelled further afield, but the broadside production made the story much more accessible. There were also much more ambiguous copyright laws at this time.
Burke and Hare were Irish bodysnatchers and murderers, who worked around Edinburgh's Canongate area - eventually becoming local legends. They hit upon the idea of murdering vulnerable or solitary people (in an attempt not to get caught) so that they could sell the bodies for dissection. Hare turned King's Evidence and so was acquitted, but this secured the conviction of Burke, who was hanged on the 28th January 1829.",Broadside entitled 'Riot at Dumfries! Hares Arrival',1829
15381,body,L.C.Fol.74(123),"This broadside report begins: 'Full, True and Particular Account of the seizure of the Body of an Old Woman, on Saturday Night, the 8th instant, at the head of Infirmary Street, on its way to Surgeon's Square; with an acconnt of that Horrid and Awful event which took place at Falkirk where a Woman was carried off by three men and supposed to be Burked.' Although no date of publication is included, the subject matter suggests it was probabably printed in the 1830s. The sheet was published by John Campbell of Edinburgh.
Most likely written around the time when Burke and Hare terrorised Edinburgh (c. 1829-30), this broadside report would have scared the public with its dark tales of the 'Resurrectionists' (i.e. grave robbers). The writer sensationally describes an incident whereby a carriage was seized by a suspicious Edinburgh mob near the anatomy theatre, and the body of a 50-year-old woman discovered inside the coach. In this atmosphere of mass hysteria, the word 'burke' gatecrashed its way into the lexicon - and appears in the sub-title at the foot of this broadside. At the time, it could be that this word was a synonym for 'grave robbing'.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'Resurrection',1830-1839
14609,body,F.3.a.13(63),"This broadside news report begins: 'A Full and Particular Account of the Reception of WILLIAM HARE, one of the West Port Murderers, at Dumfries, on Friday morning last, on his way to Ireland!' Although this sheet does not include the name of the publisher, the story was sourced from 'The Edinburgh Evening Courant' of February the 9th, 1829, and cost one penny.
This broadside details the whereabouts of William Hare, whose partner-in-crime, William Burke, had recently been executed for committing a series of murders in their efforts to sell bodies to the Edinburgh Medical School. Although Burke was hanged in Edinburgh before a crowd of around 40,000, Hare was freed after turning King's evidence. Adopting the rather inappropriate name of Mr Black, Hare was forced to take shelter in the jail at Dumfries when a mob threatened his life. The sheet concludes with Hare being smuggled out of the town under a police guard, and left on the road to Carlisle.
Broadsides are single sheets of paper, printed on one side, to be read unfolded. They carried public information such as proclamations as well as ballads and news of the day. Cheaply available, they were sold on the streets by pedlars and chapmen. Broadsides offer a valuable insight into many aspects of the society they were published in, and the National Library of Scotland holds over 250,000 of them.",Broadside entitled 'Riot at Dumfries! Hares arrival',1829
15238,body,Ry.III.a.6(047),"This entertaining narrative begins: 'An account of rather a New and Curious Circumstance that took place at Aberdeen . . . between a respectable Lecturer on Anatomy . . . and a party of Sailors'. This story was sourced from the 'Fife Journal' of Thursday 26th February, 1829 and the 'Montrose Review'.
This article makes reference to the Edinburgh case of the bodysnatchers Burke and Hare. As such this article is one of many which featured in the nineteenth-century human dissection debate. There is no grim dead body ending here though, but rather a practical joke. English sailors were forced into the port of Aberdeen by the lack of wind. Here, feeling bored by inaction, they decided to deliver their 'dead' friend to a doctor for the price of three pound. When the doctor re-entered his cellar the 'dead body' miraculously awoke and ran away - with the money of course!
Burke and Hare were Irish bodysnatchers and murderers, who worked around Edinburgh's Canongate area - eventually becoming local legends. They hit upon the idea of murdering vulnerable or solitary people (in an attempt not to get caught) so that they could sell the bodies for dissection. Hare turned King's Evidence and so was acquitted, but this secured the conviction of Burke, who was hanged on the 28th January 1829.",Broadside entitled 'A New Way of Raising the Wind!',1829
14984,body,L.C.Fol.70(56),"Verse 1: 'Who is she, the poor maniac, whose wildly fix'd eyes / Seem a heart overcharg'd to express? - / She weeps not, yet often and deeply she sighs; / She never complains; but silence implies / The composure of settled distress.' This poem was published on 3rd July 1869 by the Poet's Box in Glasgow, priced one penny. At the foot of the sheet it is noted 'The POET is universally admitted to be the cheapest LETTERPRESS PRINTER in the city'. The 'POET' is not named.
This ballad was written in 1796 by the poet Robert Southey (1774-1843). It tells a haunting tale that is more unusual and complex than many featured in broadside ballads. Beginning with an image of Mary as a 'poor maniac', the story then moves back in time to when Mary was a carefree young girl. To settle a wager, she agrees to visit an old abbey on a stormy night, and in so doing discovers that her fiancé Richard is a body-snatcher. Richard is hanged, and Mary's life is ruined.
The Poet?s Box in Glasgow operated from 1849 to 1911. Matthew Leitch was the proprietor at 6 St. Andrew Lane?s, a narrow street on the south side of Gallowgate, from 1850 to 1858. His son William Munsie Leitch worked at the same address from 1859 to 1865 and at varous addresses in London Street until 1911. Many of the broadsides published by the Glasgow Poet?s Box were dated and some carried advertisements, not just for printed items but also for shoe blacking and ?soap for lovers?! Like the other ?boxes? in Dundee and Edinburgh, the Glasgow one sold love songs, sea shanties, parodies and dialogues. It is not clear what the connection between the different Poet?s Boxes were. They almost certainly sold each other?s sheets. It is known that John Sanderson in Edinburgh often wrote to the Leitches in Glasgow for songs and that later his brother Charles obtained copies of songs from the Dundee Poet?s Box. There was also a Poet?s Box in Belfast from 1846 to 1856 at the address of the printer James Moore, and one in Paisley in the early 1850s owned by William Anderson. 
Early ballads were dramatic or humorous narrative songs derived from folk culture that predated printing. Originally perpetuated by word of mouth, many ballads survive because they were recorded on broadsides. Musical notation was rarely printed, as tunes were usually established favourites. The term 'ballad' eventually applied more broadly to any kind of topical or popular verse.","Broadside ballad entitled 'Mary, the Maid of the Inn'",1869
14952,courtship,L.C.Fol.70(36a),"Verse 1: 'One evening as I walk'd by Clyde's banks so gay ; / It was for recreation that way I did stray ; / A fair maid I heard singing her own mournful lay / Saying, the lad I lo'e dearly's gane noo far away.' No publication details have been given here, although it is possible these were on the other half of the sheet, which seems to have been torn off.
Jamie is a soldier in the 'Forty-and-Two', which is the 42nd Highland Regiment, more commonly known today as the Black Watch. The mention that Jamie has been posted to the (West) Indies, in the final verse, makes it likely that the song was composed in the late eighteenth century. The 42nd went on expedition there in 1793, for over three years. They captured the islands of St Lucia and St Vincent.
Early ballads were dramatic or humorous narrative songs derived from folk culture that predated printing. Originally perpetuated by word of mouth, many ballads survive because they were recorded on broadsides. Musical notation was rarely printed, as tunes were usually established favourites. The term 'ballad' eventually applied more broadly to any kind of topical or popular verse.",Broadside ballad entitled 'Young Jamie o' the Forty-and-Two',1880-1900
15061,courtship,L.C.Fol.70(96b),"Verse 1: 'I am a noble hero, / By birth I am enslaved, / Near to the town of Wexford, / There dwells a comely maid, / She is fairer than Diana, / She is free from earthly pride, / And, this lovely maid, her dwelling place, / Is near the Slaney side.' This broadside was published by James Lindsay of 9 King Street, Glasgow.
The River Slaney, which divides County Wexford in Ireland diagonally in two, is steeped in mythology and historical significance. Its name is derived from a mythic chieftain named Slainghe, and its waters have been navigated by Christian missionaries, Norse invaders and Normans in turn. Perhaps because of the area's rich heritage, the author of this ballad has cast his lovers in mythological terms. Like the 'noble heroes' in many myths, the narrator of the ballad is caught in an apparently endless quest to win the hand of his love.
Early ballads were dramatic or humorous narrative songs derived from folk culture that predated printing. Originally perpetuated by word of mouth, many ballads survive because they were recorded on broadsides. Musical notation was rarely printed, as tunes were usually established favourites. The term 'ballad' eventually applied more broadly to any kind of topical or popular verse.",Broadside ballad entitled 'The Slaney Side',1852-1859
